ÆÚÊý,ºì1,ºì2,ºì3,ºì4,ºì5,ºì6,À¶1
15079,15,9,32,14,20,26,11
15078,22,7,26,29,3,20,2
15077,27,6,13,8,10,1,16
15076,1,9,27,10,19,23,9
15075,6,19,32,13,21,11,4
15074,21,29,4,26,25,7,8
15073,2,27,26,1,22,17,4
15072,1,31,5,20,3,21,5
15071,28,29,8,18,20,31,8
15070,29,7,19,21,13,1,15
15069,23,17,18,30,13,1,15
15068,27,15,6,21,26,18,10
15067,5,24,25,31,2,8,14
15066,17,8,11,28,5,24,16
15065,29,26,8,14,10,19,12
15064,14,27,23,12,11,17,1
15063,7,9,16,32,22,1,12
15062,18,26,14,15,9,21,16
15061,18,26,6,32,22,33,4
15060,18,1,27,31,32,3,13
15059,25,6,16,2,32,9,14
15058,10,18,2,20,9,19,15
15057,25,24,32,20,9,26,4
15056,1,8,18,20,16,7,14
15055,19,10,18,1,28,15,2
15054,22,1,10,26,7,2,7
15053,32,7,17,3,33,22,10
15052,25,4,16,26,11,2,12
15051,32,4,24,26,10,28,9
15050,17,12,16,3,9,31,4
15049,23,17,7,20,12,14,5
15048,27,22,16,13,17,25,10
15047,20,24,26,27,2,3,9
15046,31,23,5,10,14,7,1
15045,30,31,22,1,13,5,7
15044,14,4,3,16,13,2,2
15043,26,11,24,27,12,15,15
15042,23,10,21,9,19,32,8
15041,25,11,9,17,4,21,6
15040,27,30,16,18,32,13,16
15039,26,30,13,29,1,15,12
15038,33,11,5,6,12,14,14
15037,31,5,28,7,18,12,3
15036,33,4,17,6,16,26,3
15035,9,1,8,24,22,33,3
15034,27,13,18,12,20,17,13
15033,31,6,32,21,29,3,5
15032,16,29,18,14,32,11,16
15031,22,26,1,5,7,32,11
15030,8,11,14,15,26,16,7
15029,14,15,7,28,21,19,7
15028,4,28,26,27,7,10,14
15027,7,29,26,16,9,5,7
15026,33,17,13,2,22,21,13
15025,11,32,15,27,12,10,14
15024,9,23,11,24,18,16,10
15023,9,8,13,29,10,30,1
15022,10,16,7,4,23,25,10
15021,14,27,28,17,16,15,8
15020,4,7,1,23,19,22,4
15019,26,19,6,11,2,25,4
15018,12,28,9,6,14,29,9
15017,20,18,13,27,33,25,12
15016,10,6,17,15,2,31,13
15015,7,33,25,24,1,20,4
15014,19,16,30,27,2,12,11
15013,26,9,8,25,29,24,1
15012,31,23,29,5,22,3,6
15011,12,15,,,,,
15010,5,9,,,,,
15009,13,14,,,,,
15008,16,3,,,,,
15007,7,8,,,,,
15006,9,13,,,,,
15005,1,15,,,,,
15004,4,10,,,,,
15003,11,15,,,,,
15002,8,5,,,,,
15001,1,6,,,,,
14152,2,12,,,,,
14151,1,8,,,,,
14150,14,9,,,,,
14149,5,1,,,,,
14148,1,13,,,,,
14147,7,10,,,,,
14146,2,1,,,,,
14145,13,11,,,,,
14144,15,14,,,,,
14143,25,20,18,3,26,12,16
14142,25,6,28,22,21,23,13
14141,21,9,16,8,11,24,10
14140,10,14,17,11,6,33,6
14139,15,14,25,29,20,1,11
14138,4,29,6,31,13,33,13
14137,6,11,29,3,25,9,9
14136,32,19,31,3,27,16,10
14135,33,4,2,13,11,25,1
14134,23,28,22,5,16,26,2
14133,14,13,31,16,23,30,13
14132,6,5,14,15,33,18,8
14131,28,21,22,5,32,17,14
14130,1,10,30,24,33,2,10
14129,20,28,8,9,32,5,2
14128,18,24,5,7,17,8,14
14127,23,21,27,2,10,12,12
14126,17,6,27,11,22,16,1
14125,11,15,31,10,32,26,6
14124,33,2,24,17,31,20,4
14123,11,33,1,28,6,17,5
14122,20,6,29,16,11,9,11
14121,13,22,1,28,30,2,9
14120,1,12,7,28,16,23,4
14119,26,6,20,17,13,29,9
14118,26,7,30,15,5,18,3
14117,25,5,29,10,17,28,4
14116,10,15,14,9,29,19,16
14115,32,10,11,1,9,13,3
14114,2,7,23,33,32,30,10
14113,31,32,33,14,28,12,7
14112,1,15,30,21,16,24,3
14111,8,28,22,20,17,2,2
14110,1,30,8,13,11,19,6
14109,5,19,11,28,2,15,2
14108,8,20,23,9,28,3,2
14107,22,27,17,11,25,14,16
14106,21,18,9,17,14,25,15
14105,27,19,17,14,32,16,4
14104,2,6,28,19,12,27,13
14103,8,10,33,18,9,3,4
14102,31,24,21,14,16,28,13
14101,18,16,23,32,24,20,7
14100,9,1,16,10,14,6,11
14099,5,32,13,10,11,1,14
14098,17,31,29,20,13,2,7
14097,27,13,24,25,7,32,15
14096,17,12,22,24,14,19,8
14095,22,5,8,6,14,31,8
14094,23,1,29,10,20,18,1
14093,10,20,8,2,29,9,5
14092,3,22,19,13,18,26,7
14091,5,1,29,27,12,19,14
14090,19,24,9,5,11,32,13
14089,27,14,4,30,17,6,9
14088,16,3,14,6,29,11,15
14087,18,6,23,33,32,22,6
14086,14,2,12,10,4,30,8
14085,2,29,19,1,11,23,8
14084,13,25,1,6,10,9,8
14083,23,33,5,21,6,19,12
14082,20,4,26,29,2,25,11
14081,29,8,22,27,24,14,10
14080,25,5,30,14,17,16,7
14079,2,28,22,7,27,16,2
14078,6,2,3,9,17,5,7
14077,15,22,9,12,8,19,10
14076,33,10,12,18,17,6,11
14075,22,29,11,27,9,3,6
14074,30,6,3,31,1,13,12
14073,12,20,33,30,16,1,2
14072,1,13,19,32,7,3,16
14071,22,4,12,2,17,25,14
14070,7,9,28,19,1,29,7
14069,19,12,5,30,17,25,11
14068,13,22,27,12,4,29,16
14067,17,6,23,1,7,18,6
14066,5,2,18,21,17,15,16
14065,22,4,8,5,10,3,6
14064,32,2,29,9,16,15,14
14063,22,17,8,31,21,3,16
14062,9,15,24,25,6,26,9
14061,14,28,2,17,31,27,8
14060,3,25,18,14,5,33,6
14059,12,5,25,13,8,23,13
14058,3,14,25,12,13,2,11
14057,31,12,4,2,18,23,8
14056,28,20,1,11,18,29,1
14055,19,30,21,9,2,14,4
14054,1,11,5,29,4,30,14
14053,22,31,17,19,14,26,2
14052,28,30,13,15,33,9,8
14051,21,19,24,10,23,16,13
14050,26,32,17,3,25,23,13
14049,32,7,23,16,17,6,6
14048,24,25,16,9,17,6,16
14047,11,19,8,10,12,29,15
14046,2,22,18,10,11,17,10
14045,4,2,9,22,11,19,15
14044,27,4,28,9,33,21,12
14043,2,14,5,9,33,24,9
14042,33,28,25,15,12,20,14
14041,21,18,7,22,11,16,2
14040,4,12,3,11,6,15,8
14039,15,31,11,3,19,20,7
14038,23,7,24,22,33,4,16
14037,24,14,25,30,6,13,7
14036,8,11,7,9,1,22,3
14035,17,7,33,32,8,9,6
14034,1,8,4,25,3,31,6
14033,33,13,32,28,5,23,12
14032,33,14,29,22,1,2,7
14031,27,10,21,16,17,4,14
14030,30,12,19,24,18,23,10
14029,7,21,16,29,2,14,14
14028,16,21,27,30,32,6,5
14027,31,8,30,14,16,10,1
14026,23,6,11,5,2,1,14
14025,16,30,1,5,14,10,16
14024,8,10,16,23,20,30,9
14023,9,21,17,13,7,22,10
14022,6,21,26,7,10,4,16
14021,29,10,22,17,15,8,12
14020,9,25,14,23,24,17,15
14019,20,15,19,10,2,21,7
14018,13,33,30,21,17,18,15
14017,26,6,25,4,14,7,10
14016,7,2,24,21,3,13,8
14015,11,19,30,32,33,2,9
14014,4,22,25,19,29,9,15
14013,15,21,13,5,17,9,13
14012,21,24,19,1,11,8,8
14011,14,13,21,32,9,10,2
14010,33,31,5,7,20,8,11
14009,19,20,9,25,8,32,16
14008,30,21,16,14,5,29,12
14007,28,12,14,18,8,10,14
14006,7,27,17,3,4,21,14
14005,33,18,15,32,27,23,4
14004,25,1,19,24,4,22,15
14003,10,33,30,6,28,11,12
14002,32,4,31,33,23,21,4
14001,9,27,29,20,3,15,1
13154,19,11,7,29,24,14,5
13153,18,28,11,8,33,13,10
13152,6,4,16,18,29,14,5
13151,9,33,3,19,10,28,9
13150,15,26,1,25,29,16,10
13149,25,18,32,9,26,30,11
13148,6,22,11,12,14,17,1
13147,19,30,17,2,15,16,8
13146,30,20,25,32,33,8,1
13145,13,10,24,16,23,6,15
13144,27,19,31,5,12,7,2
13143,27,18,32,21,22,12,11
13142,12,20,29,14,22,11,14
13141,5,4,31,3,25,30,4
13140,22,12,13,21,5,1,10
13139,11,27,7,21,13,8,8
13138,27,28,24,16,15,4,3
13137,27,17,4,19,24,23,10
13136,26,16,18,6,4,14,6
13135,24,31,9,23,29,25,12
13134,25,17,18,1,19,29,10
13133,22,12,4,7,25,19,1
13132,22,27,20,23,25,21,12
13131,19,12,17,26,6,4,9
13130,3,1,16,33,15,31,8
13129,27,31,14,5,10,6,14
13128,25,31,17,13,7,19,8
13127,22,13,3,20,2,33,14
13126,19,31,4,33,10,27,16
13125,28,25,4,8,18,6,16
13124,9,15,30,3,25,23,7
13123,25,2,11,17,1,6,2
13122,27,7,10,26,15,13,11
13121,7,6,5,25,27,4,7
13120,6,23,18,13,5,31,11
13119,20,26,22,15,32,5,9
13118,33,32,2,17,3,22,16
13117,33,27,24,12,9,13,16
13116,21,33,12,32,26,15,7
13115,3,18,27,17,16,12,8
13114,21,17,4,6,33,23,7
13113,33,24,7,4,17,11,9
13112,31,13,12,22,1,6,7
13111,6,2,33,3,1,8,13
13110,21,18,17,29,32,15,13
13109,24,9,23,29,32,27,8
13108,31,32,21,28,16,22,5
13107,17,11,28,31,7,9,11
13106,11,32,9,23,30,31,6
13105,11,27,1,31,32,23,9
13104,17,2,28,4,15,1,11
13103,4,20,9,18,2,13,7
13102,16,5,8,2,6,4,3
13101,5,23,32,9,27,7,1
13100,20,16,8,4,14,11,11
13099,20,26,31,21,5,11,3
13098,19,20,26,7,15,18,14
13097,17,23,22,14,25,5,7
13096,28,22,1,30,2,29,15
13095,29,28,19,15,1,6,10
13094,14,2,22,18,4,20,7
13093,31,26,8,2,29,1,14
13092,26,11,7,21,31,15,6
13091,31,14,24,28,4,25,10
13090,11,24,2,23,5,29,8
13089,4,8,19,25,21,12,13
13088,15,9,21,22,24,20,14
13087,24,28,23,2,13,19,5
13086,2,11,26,4,16,13,11
13085,2,12,16,8,14,32,16
13084,21,7,5,9,20,11,3
13083,12,19,14,6,23,5,9
13082,22,14,20,4,13,30,6
13081,1,10,31,13,4,21,13
13080,23,28,11,32,10,12,16
13079,26,7,22,19,13,17,13
13078,5,26,17,27,18,3,15
13077,9,14,26,24,29,23,3
13076,23,24,29,30,14,26,3
13075,4,9,6,33,25,30,14
13074,6,8,32,14,3,19,3
13073,13,20,28,17,9,2,11
13072,8,33,14,19,11,2,9
13071,21,12,26,28,5,23,9
13070,2,28,10,30,9,3,6
13069,30,16,18,17,7,33,6
13068,13,20,25,2,27,7,6
13067,9,1,4,30,15,22,6
13066,17,16,20,1,3,32,7
13065,23,7,30,19,18,29,2
13064,13,25,22,9,32,1,12
13063,31,20,15,23,10,18,12
13062,22,19,6,1,7,27,2
13061,6,5,18,13,12,7,12
13060,7,5,20,13,19,10,15
13059,27,29,3,10,24,18,9
13058,24,8,11,21,17,23,5
13057,13,19,26,16,28,23,5
13056,12,29,26,3,25,28,16
13055,32,19,27,18,22,8,6
13054,8,14,4,3,28,21,14
13053,30,22,3,33,13,12,14
13052,14,22,24,6,21,7,13
13051,29,8,15,28,19,12,2
13050,22,7,3,13,25,18,3
13049,16,32,14,10,21,13,14
13048,32,28,30,10,17,13,4
13047,1,27,17,30,11,8,12
13046,19,3,24,26,16,20,6
13045,7,6,14,31,8,23,12
13044,28,26,11,3,18,5,6
13043,17,25,6,15,14,3,16
13042,15,8,33,13,1,12,3
13041,23,17,10,2,24,12,5
13040,10,2,12,4,17,30,10
13039,2,15,24,29,1,14,6
13038,15,10,12,14,19,9,11
13037,18,15,32,28,27,2,14
13036,29,5,31,9,27,4,13
13035,26,17,15,14,30,1,2
13034,20,6,22,33,26,15,9
13033,6,28,17,19,13,5,1
13032,4,21,29,30,33,25,3
13031,3,15,14,13,33,21,3
13030,25,26,7,29,18,14,6
13029,29,23,6,19,10,7,12
13028,7,25,8,26,28,14,13
13027,24,21,1,12,4,2,12
13026,4,11,14,15,22,31,11
13025,30,16,18,25,17,24,8
13024,4,23,30,5,27,13,9
13023,32,3,15,6,18,30,5
13022,15,7,4,2,20,9,7
13021,19,31,26,1,17,6,11
13020,16,1,7,21,12,8,1
13019,20,26,16,5,1,2,6
13018,30,8,28,29,13,2,5
13017,31,12,30,32,4,6,9
13016,12,6,2,28,14,5,5
13015,5,18,13,6,7,11,15
13014,5,17,19,20,4,2,8
13013,6,19,13,28,5,22,9
13012,6,28,22,17,29,14,2
13011,12,3,17,27,29,24,9
13010,32,1,9,17,33,11,12
13009,4,16,23,1,13,9,2
13008,17,32,3,25,8,21,15
13007,32,2,15,26,9,22,1
13006,22,13,30,9,10,17,13
13005,1,25,32,13,31,14,12
13004,10,27,6,16,20,32,8
13003,22,28,23,26,33,27,9
13002,16,30,1,22,28,18,12
13001,6,15,25,8,24,14,6
12154,5,16,12,32,28,7,4
12153,21,11,4,5,28,27,10
12152,28,10,29,12,18,22,7
12151,25,24,32,14,26,5,1
12150,17,23,24,9,26,11,7
12149,26,25,32,1,13,5,13
12148,3,21,6,11,31,17,7
12147,24,15,23,32,2,12,9
12146,7,5,32,1,29,13,13
12145,5,28,26,27,20,33,3
12144,3,10,13,30,12,27,4
12143,8,25,7,30,18,32,6
12142,31,22,5,29,18,28,6
12141,20,8,5,3,27,19,9
12140,31,30,33,14,27,18,15
12139,8,24,21,31,28,19,15
12138,7,16,21,17,1,19,14
12137,1,13,17,2,4,6,7
12136,7,21,28,17,2,8,11
12135,2,8,11,17,7,5,16
12134,5,7,13,6,23,2,15
12133,20,1,29,21,8,11,2
12132,16,25,7,12,17,21,10
12131,6,19,32,28,26,18,12
12130,20,15,22,31,1,3,3
12129,21,1,7,9,17,29,1
12128,30,12,5,9,31,29,5
12127,26,9,11,21,32,1,8
12126,12,24,5,23,15,3,7
12125,12,13,26,29,8,33,1
12124,7,33,21,27,6,25,11
12123,10,8,25,16,28,33,9
12122,19,29,12,22,28,13,11
12121,1,20,7,24,8,23,11
12120,1,4,20,24,28,29,16
12119,12,20,27,25,26,28,13
12118,6,12,5,15,7,28,11
12117,24,15,18,20,28,13,9
12116,31,29,32,21,3,26,3
12115,3,32,24,20,26,8,14
12114,29,6,11,26,27,1,15
12113,6,9,18,3,32,13,6
12112,15,31,20,21,27,8,6
12111,10,31,9,20,22,2,13
12110,7,3,13,10,32,22,9
12109,29,12,31,2,26,24,3
12108,13,12,19,1,9,28,13
12107,31,15,11,25,24,12,9
12106,32,13,22,20,14,23,16
12105,17,6,13,15,14,30,4
12104,28,19,9,5,4,10,3
12103,9,4,14,11,33,32,2
12102,13,25,30,27,29,28,15
12101,33,12,9,17,18,20,2
12100,33,15,5,7,25,18,10
12099,21,8,27,16,15,12,16
12098,12,31,19,26,29,2,9
12097,14,13,8,22,19,5,6
12096,7,29,11,16,33,4,7
12095,24,29,17,27,28,30,2
12094,14,9,33,23,16,6,15
12093,19,24,33,21,3,5,13
12092,17,18,32,28,6,13,3
12091,7,5,21,19,8,1,16
12090,20,30,25,2,29,13,11
12089,25,3,13,14,10,7,11
12088,23,3,24,27,5,31,15
12087,13,14,11,10,3,22,9
12086,9,8,23,15,13,22,8
12085,24,17,30,5,33,31,5
12084,2,28,26,20,29,10,14
12083,4,33,15,14,26,9,4
12082,22,11,4,29,18,2,6
12081,29,5,25,2,24,10,6
12080,9,15,14,4,16,27,3
12079,33,24,6,12,30,7,12
12078,15,24,8,22,28,33,12
12077,26,28,2,18,13,4,12
12076,29,22,11,18,30,27,15
12075,6,23,4,32,29,22,11
12074,32,16,28,19,18,15,8
12073,27,17,7,9,10,4,5
12072,2,3,13,30,7,9,6
12071,21,19,23,22,3,4,8
12070,4,2,31,32,24,3,11
12069,20,11,18,10,29,8,6
12068,32,22,17,5,26,33,10
12067,4,26,30,10,21,5,16
12066,1,26,29,2,9,33,12
12065,19,8,27,10,18,31,14
12064,23,10,16,24,11,5,11
12063,24,17,10,2,19,27,12
12062,2,31,17,16,20,13,7
12061,3,18,11,8,14,12,14
12060,17,16,29,7,10,13,1
12059,21,13,26,4,22,31,1
12058,20,26,25,3,6,15,4
12057,21,31,27,3,5,19,4
12056,4,14,26,31,17,7,10
12055,6,24,28,4,13,20,1
12054,14,20,18,30,33,6,14
12053,33,25,4,22,27,15,4
12052,3,5,20,6,24,2,4
12051,2,14,17,12,30,31,9
